#Chr	Start	End	T1	T2	T3	T4
chr1	1	1000000	10	10	20	30
chr1	1000001	2000000	11	12	20	34
chr1	2000001	3000000	0	5	22	33
chr1	3000001	4000000	3	10	23	32
chr1	4000001	5000000	11	12	20	34
chr1	5000001	6000000	12	5	22	33
chr1	6000001	7000000	24	31	23	32
chr1	7000001	8000000	13	23	20	34
chr1	8000001	9000000	24	19	22	35
chr1	9000001	10000000	3	10	53	82
chr1	10000001	11000000	11	50	80	89
chr1	11000001	12000000	23	55	90	100
chr1	12000001	13000000	13	45	76	89
chr1	13000001	14000000	13	23	34	43
chr1	14000001	15000000	9	15	22	32
chr1	15000001	16000000	12	18	28	36
chr1	16000001	17000000	11	20	25	37
chr1	17000001	18000000	14	19	22	35
chr1	18000001	19000000	3	10	23	33
chr1	19000001	20000000	11	15	20	23
chr1	20000001	21000000	2	15	19	23
chr1	21000001	22000000	3	10	23	32
chr1	22000001	23000000	5	13	15	24
chr1	23000001	24000000	4	20	27	29
chr1	24000001	25000000	6	10	23	26
chr1	25000001	26000000	8	12	19	20
chr2	1	1000000	10	12	23	20
chr2	1000001	2000000	12	23	25	34
chr2	2000001	3000000	0	5	22	34
chr2	3000001	4000000	3	11	23	40
chr2	4000001	5000000	11	16	23	38
chr2	5000001	6000000	12	15	18	26
chr2	6000001	7000000	14	18	23	24
chr2	7000001	8000000	13	23	23	30
chr2	8000001	9000000	16	24	50	76
chr2	9000001	10000000	14	20	53	82
chr2	10000001	11000000	13	54	83	97
chr2	11000001	12000000	19	64	89	100
chr2	12000001	13000000	13	35	75	96
chr2	13000001	14000000	14	30	50	74
chr2	14000001	15000000	9	19	53	52
chr2	15000001	16000000	12	14	26	33
chr2	16000001	17000000	11	20	25	35
chr2	17000001	18000000	14	19	22	38
chr2	18000001	19000000	3	10	23	32
chr2	19000001	20000000	11	16	22	21
chr3	16000001	18000000	5	NA	18	25
chr3	20000001	21000000	2	NA	18	21
chr3	27000001	28000000	NA	NA	NA	NA
